Episode,Score,Epsilon
1,20,0.9046
2,17,0.8307
3,25,0.7329
4,175,0.3048
5,40,0.2495
6,26,0.2190
7,48,0.1721
8,34,0.1452
9,47,0.1147
10,45,0.0915
11,36,0.0764
12,27,0.0668
13,52,0.0514
14,59,0.0500
15,29,0.0500
16,25,0.0500
17,36,0.0500
18,28,0.0500
19,28,0.0500
20,27,0.0500
21,41,0.0500
22,27,0.0500
23,25,0.0500
24,39,0.0500
25,26,0.0500
26,25,0.0500
27,33,0.0500
28,60,0.0500
29,32,0.0500
30,23,0.0500
31,34,0.0500
32,27,0.0500
33,47,0.0500
34,24,0.0500
35,31,0.0500
36,36,0.0500
37,21,0.0500
38,49,0.0500
39,21,0.0500
40,67,0.0500
41,56,0.0500
42,30,0.0500
43,23,0.0500
44,34,0.0500
45,64,0.0500
46,26,0.0500
47,29,0.0500
48,39,0.0500
49,35,0.0500
50,45,0.0500
51,29,0.0500
52,33,0.0500
53,35,0.0500
54,29,0.0500
55,29,0.0500
56,54,0.0500
57,62,0.0500
58,38,0.0500
59,40,0.0500
60,35,0.0500
61,59,0.0500
62,60,0.0500
63,38,0.0500
64,45,0.0500
65,44,0.0500
66,31,0.0500
67,49,0.0500
68,65,0.0500
69,53,0.0500
70,52,0.0500
71,67,0.0500
72,41,0.0500
73,52,0.0500
74,78,0.0500
75,125,0.0500
76,131,0.0500
77,133,0.0500
78,120,0.0500
79,318,0.0500
80,153,0.0500
81,339,0.0500
82,230,0.0500
83,285,0.0500
84,276,0.0500
85,188,0.0500
86,216,0.0500
87,244,0.0500
88,256,0.0500
89,197,0.0500
90,209,0.0500
91,241,0.0500
92,206,0.0500
93,206,0.0500
94,177,0.0500
95,193,0.0500
96,216,0.0500
97,235,0.0500
98,246,0.0500
99,272,0.0500
100,205,0.0500
101,223,0.0500
102,218,0.0500
103,190,0.0500
104,215,0.0500
105,262,0.0500
106,291,0.0500
107,216,0.0500
108,216,0.0500
109,215,0.0500
110,500,0.0500
111,500,0.0500
112,269,0.0500
113,349,0.0500
114,253,0.0500
115,346,0.0500
116,448,0.0500
117,227,0.0500
118,173,0.0500
119,175,0.0500
120,162,0.0500
121,196,0.0500
122,173,0.0500
123,190,0.0500
124,191,0.0500
125,199,0.0500
126,189,0.0500
127,190,0.0500
128,177,0.0500
129,345,0.0500
130,237,0.0500
131,217,0.0500
132,299,0.0500
133,202,0.0500
134,183,0.0500
135,179,0.0500
136,157,0.0500
137,182,0.0500
138,211,0.0500
139,143,0.0500
140,239,0.0500
141,424,0.0500
142,500,0.0500
143,275,0.0500
144,297,0.0500
145,204,0.0500
146,172,0.0500
147,192,0.0500
148,200,0.0500
149,319,0.0500
150,222,0.0500
151,259,0.0500
152,271,0.0500
153,179,0.0500
154,175,0.0500
155,187,0.0500
156,220,0.0500
157,396,0.0500
158,218,0.0500
159,167,0.0500
160,196,0.0500
161,194,0.0500
162,243,0.0500
163,370,0.0500
164,173,0.0500
165,188,0.0500
166,190,0.0500
167,268,0.0500
168,341,0.0500
169,214,0.0500
170,201,0.0500
171,232,0.0500
172,212,0.0500
173,335,0.0500
174,217,0.0500
175,257,0.0500
176,322,0.0500
177,420,0.0500
178,424,0.0500
179,218,0.0500
180,188,0.0500
181,213,0.0500
182,225,0.0500
183,223,0.0500
184,178,0.0500
185,220,0.0500
186,386,0.0500
187,291,0.0500
188,181,0.0500
189,173,0.0500
190,185,0.0500
191,189,0.0500
192,175,0.0500
193,221,0.0500
194,219,0.0500
195,176,0.0500
196,194,0.0500
197,182,0.0500
198,153,0.0500
199,172,0.0500
200,168,0.0500
