Episode,Score,Epsilon
1,30,0.8604
2,16,0.7941
3,10,0.7553
4,12,0.7112
5,20,0.6433
6,10,0.6119
7,13,0.5733
8,19,0.5212
9,13,0.4883
10,12,0.4598
11,13,0.4308
12,12,0.4057
13,12,0.3820
14,15,0.3543
15,10,0.3370
16,26,0.2958
17,10,0.2813
18,10,0.2676
19,12,0.2520
20,12,0.2373
21,12,0.2234
22,11,0.2114
23,10,0.2011
24,11,0.1903
25,10,0.1810
26,11,0.1713
27,12,0.1613
28,9,0.1542
29,11,0.1459
30,13,0.1367
31,11,0.1294
32,10,0.1230
33,9,0.1176
34,10,0.1119
35,10,0.1064
36,13,0.0997
37,11,0.0943
38,9,0.0902
39,10,0.0858
40,8,0.0824
41,10,0.0784
42,8,0.0753
43,11,0.0712
44,9,0.0681
45,9,0.0651
46,10,0.0619
47,10,0.0589
48,11,0.0557
49,10,0.0530
50,9,0.0507
51,10,0.0500
52,10,0.0500
53,10,0.0500
54,10,0.0500
55,10,0.0500
56,8,0.0500
57,9,0.0500
58,10,0.0500
59,10,0.0500
60,10,0.0500
61,9,0.0500
62,9,0.0500
63,10,0.0500
64,10,0.0500
65,10,0.0500
66,10,0.0500
67,9,0.0500
68,9,0.0500
69,8,0.0500
70,10,0.0500
71,9,0.0500
72,10,0.0500
73,10,0.0500
74,9,0.0500
75,9,0.0500
76,9,0.0500
77,10,0.0500
78,13,0.0500
79,10,0.0500
80,10,0.0500
81,8,0.0500
82,11,0.0500
83,9,0.0500
84,9,0.0500
85,9,0.0500
86,10,0.0500
87,12,0.0500
88,9,0.0500
89,11,0.0500
90,9,0.0500
91,9,0.0500
92,10,0.0500
93,10,0.0500
94,9,0.0500
95,10,0.0500
96,9,0.0500
97,9,0.0500
98,10,0.0500
99,9,0.0500
100,12,0.0500
101,9,0.0500
102,9,0.0500
103,10,0.0500
104,11,0.0500
105,11,0.0500
106,10,0.0500
107,10,0.0500
108,11,0.0500
109,9,0.0500
110,9,0.0500
111,10,0.0500
112,10,0.0500
113,10,0.0500
114,9,0.0500
115,11,0.0500
116,11,0.0500
117,10,0.0500
118,9,0.0500
119,9,0.0500
120,12,0.0500
121,9,0.0500
122,10,0.0500
123,10,0.0500
124,27,0.0500
125,15,0.0500
126,26,0.0500
127,26,0.0500
128,10,0.0500
129,30,0.0500
130,11,0.0500
131,17,0.0500
132,9,0.0500
133,17,0.0500
134,20,0.0500
135,8,0.0500
136,13,0.0500
137,10,0.0500
138,12,0.0500
139,11,0.0500
140,9,0.0500
141,11,0.0500
142,10,0.0500
143,10,0.0500
144,10,0.0500
145,10,0.0500
146,10,0.0500
147,12,0.0500
148,23,0.0500
149,10,0.0500
150,14,0.0500
151,9,0.0500
152,12,0.0500
153,22,0.0500
154,11,0.0500
155,10,0.0500
156,11,0.0500
