Episode,Score,Epsilon
1,41,0.8142
2,16,0.7515
3,24,0.6663
4,11,0.6306
5,14,0.5878
6,10,0.5591
7,11,0.5291
8,14,0.4932
9,12,0.4644
10,9,0.4440
11,9,0.4244
12,10,0.4036
13,12,0.3801
14,15,0.3525
15,13,0.3303
16,10,0.3141
17,12,0.2958
18,10,0.2813
19,17,0.2584
20,12,0.2433
21,11,0.2302
22,11,0.2179
23,13,0.2041
24,9,0.1951
25,10,0.1856
26,10,0.1765
27,10,0.1679
28,9,0.1605
29,9,0.1534
30,10,0.1459
31,9,0.1395
32,10,0.1326
33,9,0.1268
34,12,0.1194
35,8,0.1147
36,8,0.1102
37,12,0.1038
38,9,0.0992
39,10,0.0943
40,11,0.0893
41,10,0.0849
42,8,0.0816
43,10,0.0776
44,9,0.0742
45,9,0.0709
46,12,0.0668
47,12,0.0629
48,9,0.0601
49,10,0.0571
50,9,0.0546
51,10,0.0520
52,10,0.0500
53,10,0.0500
54,12,0.0500
55,10,0.0500
56,11,0.0500
57,10,0.0500
58,10,0.0500
59,13,0.0500
60,10,0.0500
61,9,0.0500
62,12,0.0500
63,10,0.0500
64,10,0.0500
65,10,0.0500
66,10,0.0500
67,10,0.0500
68,9,0.0500
69,8,0.0500
70,10,0.0500
71,9,0.0500
72,10,0.0500
73,10,0.0500
74,10,0.0500
75,9,0.0500
76,9,0.0500
77,10,0.0500
78,9,0.0500
79,9,0.0500
80,10,0.0500
81,9,0.0500
82,10,0.0500
83,9,0.0500
84,9,0.0500
85,10,0.0500
86,10,0.0500
87,10,0.0500
88,9,0.0500
89,9,0.0500
90,9,0.0500
91,9,0.0500
92,10,0.0500
93,10,0.0500
94,9,0.0500
95,10,0.0500
96,9,0.0500
97,9,0.0500
98,10,0.0500
99,9,0.0500
100,10,0.0500
101,9,0.0500
102,9,0.0500
103,10,0.0500
104,10,0.0500
105,11,0.0500
106,10,0.0500
107,9,0.0500
108,13,0.0500
109,10,0.0500
110,9,0.0500
111,11,0.0500
112,10,0.0500
113,11,0.0500
114,10,0.0500
115,10,0.0500
116,8,0.0500
117,10,0.0500
118,11,0.0500
119,9,0.0500
120,13,0.0500
121,9,0.0500
122,12,0.0500
123,11,0.0500
124,8,0.0500
125,10,0.0500
126,11,0.0500
127,10,0.0500
128,10,0.0500
129,8,0.0500
130,10,0.0500
131,10,0.0500
132,9,0.0500
133,10,0.0500
134,9,0.0500
135,8,0.0500
136,11,0.0500
137,10,0.0500
138,9,0.0500
139,11,0.0500
140,9,0.0500
141,11,0.0500
142,9,0.0500
143,9,0.0500
144,10,0.0500
145,9,0.0500
146,14,0.0500
147,9,0.0500
148,9,0.0500
149,10,0.0500
150,9,0.0500
151,11,0.0500
152,12,0.0500
153,10,0.0500
154,10,0.0500
155,10,0.0500
156,13,0.0500
157,10,0.0500
158,9,0.0500
159,10,0.0500
160,10,0.0500
161,11,0.0500
162,9,0.0500
163,9,0.0500
164,10,0.0500
165,10,0.0500
166,9,0.0500
167,10,0.0500
168,9,0.0500
169,9,0.0500
170,8,0.0500
171,9,0.0500
172,9,0.0500
173,11,0.0500
174,8,0.0500
175,11,0.0500
176,8,0.0500
177,9,0.0500
178,11,0.0500
179,8,0.0500
180,10,0.0500
181,10,0.0500
182,10,0.0500
183,9,0.0500
184,13,0.0500
185,10,0.0500
186,12,0.0500
187,11,0.0500
188,12,0.0500
189,10,0.0500
190,12,0.0500
191,8,0.0500
192,9,0.0500
193,11,0.0500
194,9,0.0500
195,23,0.0500
196,9,0.0500
197,9,0.0500
198,12,0.0500
199,11,0.0500
200,12,0.0500
201,10,0.0500
202,9,0.0500
203,12,0.0500
204,10,0.0500
205,9,0.0500
206,8,0.0500
207,10,0.0500
208,9,0.0500
209,10,0.0500
210,9,0.0500
211,9,0.0500
212,9,0.0500
213,9,0.0500
214,12,0.0500
215,8,0.0500
216,10,0.0500
217,10,0.0500
218,9,0.0500
219,11,0.0500
220,10,0.0500
221,10,0.0500
222,10,0.0500
223,10,0.0500
224,10,0.0500
225,10,0.0500
226,11,0.0500
227,9,0.0500
228,9,0.0500
229,8,0.0500
230,13,0.0500
231,9,0.0500
232,9,0.0500
233,8,0.0500
234,9,0.0500
235,8,0.0500
236,11,0.0500
237,10,0.0500
238,11,0.0500
239,10,0.0500
240,11,0.0500
241,10,0.0500
242,9,0.0500
243,10,0.0500
244,9,0.0500
245,8,0.0500
246,9,0.0500
247,10,0.0500
248,15,0.0500
249,15,0.0500
250,34,0.0500
251,20,0.0500
252,24,0.0500
253,20,0.0500
254,11,0.0500
255,11,0.0500
256,12,0.0500
257,10,0.0500
258,11,0.0500
259,11,0.0500
260,11,0.0500
261,11,0.0500
262,11,0.0500
263,8,0.0500
264,9,0.0500
265,14,0.0500
266,11,0.0500
267,10,0.0500
268,11,0.0500
269,9,0.0500
270,11,0.0500
271,10,0.0500
272,10,0.0500
273,10,0.0500
274,10,0.0500
275,8,0.0500
276,10,0.0500
277,10,0.0500
278,9,0.0500
279,9,0.0500
280,11,0.0500
281,9,0.0500
282,10,0.0500
283,9,0.0500
284,11,0.0500
285,11,0.0500
286,10,0.0500
287,9,0.0500
288,11,0.0500
289,20,0.0500
290,26,0.0500
291,12,0.0500
292,35,0.0500
293,10,0.0500
294,11,0.0500
295,13,0.0500
296,22,0.0500
297,10,0.0500
298,11,0.0500
299,14,0.0500
300,10,0.0500
301,16,0.0500
302,14,0.0500
303,14,0.0500
304,11,0.0500
305,12,0.0500
306,55,0.0500
307,12,0.0500
308,12,0.0500
309,79,0.0500
310,12,0.0500
311,89,0.0500
312,36,0.0500
313,49,0.0500
314,84,0.0500
315,88,0.0500
316,66,0.0500
317,56,0.0500
318,62,0.0500
319,76,0.0500
320,81,0.0500
321,52,0.0500
322,98,0.0500
323,58,0.0500
324,84,0.0500
325,58,0.0500
326,57,0.0500
327,62,0.0500
328,51,0.0500
329,104,0.0500
330,54,0.0500
331,109,0.0500
332,84,0.0500
333,53,0.0500
334,86,0.0500
335,126,0.0500
336,50,0.0500
337,116,0.0500
338,108,0.0500
339,60,0.0500
340,59,0.0500
341,141,0.0500
342,87,0.0500
343,169,0.0500
344,71,0.0500
345,117,0.0500
346,109,0.0500
347,183,0.0500
348,127,0.0500
349,147,0.0500
350,99,0.0500
351,273,0.0500
352,107,0.0500
353,88,0.0500
354,190,0.0500
355,260,0.0500
356,138,0.0500
357,241,0.0500
358,142,0.0500
359,241,0.0500
360,98,0.0500
361,67,0.0500
362,94,0.0500
363,188,0.0500
364,60,0.0500
365,141,0.0500
366,82,0.0500
367,213,0.0500
368,199,0.0500
369,455,0.0500
370,151,0.0500
371,210,0.0500
372,149,0.0500
373,162,0.0500
374,226,0.0500
375,154,0.0500
376,152,0.0500
377,500,0.0500
378,168,0.0500
379,146,0.0500
380,175,0.0500
381,123,0.0500
382,171,0.0500
383,144,0.0500
384,166,0.0500
385,275,0.0500
386,231,0.0500
387,186,0.0500
388,183,0.0500
389,253,0.0500
390,145,0.0500
391,164,0.0500
392,158,0.0500
393,163,0.0500
394,204,0.0500
395,179,0.0500
396,183,0.0500
397,221,0.0500
398,225,0.0500
399,204,0.0500
400,156,0.0500
401,288,0.0500
402,306,0.0500
403,186,0.0500
404,199,0.0500
405,179,0.0500
406,191,0.0500
407,184,0.0500
408,195,0.0500
409,368,0.0500
410,205,0.0500
411,183,0.0500
412,228,0.0500
413,193,0.0500
414,243,0.0500
415,164,0.0500
416,243,0.0500
417,151,0.0500
418,274,0.0500
419,180,0.0500
420,147,0.0500
421,245,0.0500
422,171,0.0500
423,158,0.0500
424,214,0.0500
425,271,0.0500
426,247,0.0500
427,163,0.0500
428,179,0.0500
429,192,0.0500
430,157,0.0500
431,234,0.0500
432,256,0.0500
433,234,0.0500
434,366,0.0500
435,339,0.0500
436,268,0.0500
437,238,0.0500
438,182,0.0500
439,175,0.0500
440,215,0.0500
441,213,0.0500
442,264,0.0500
443,254,0.0500
444,196,0.0500
445,206,0.0500
446,226,0.0500
447,204,0.0500
448,401,0.0500
449,177,0.0500
450,196,0.0500
451,194,0.0500
452,188,0.0500
453,222,0.0500
454,198,0.0500
455,293,0.0500
456,338,0.0500
457,274,0.0500
458,292,0.0500
459,228,0.0500
460,207,0.0500
461,225,0.0500
462,178,0.0500
463,198,0.0500
464,173,0.0500
465,177,0.0500
466,196,0.0500
467,166,0.0500
468,207,0.0500
469,323,0.0500
470,330,0.0500
471,247,0.0500
472,201,0.0500
473,207,0.0500
474,185,0.0500
475,307,0.0500
476,202,0.0500
477,178,0.0500
478,368,0.0500
479,272,0.0500
480,209,0.0500
481,205,0.0500
482,186,0.0500
483,271,0.0500
484,218,0.0500
485,221,0.0500
486,255,0.0500
487,191,0.0500
488,268,0.0500
489,202,0.0500
490,194,0.0500
491,246,0.0500
492,189,0.0500
493,172,0.0500
494,179,0.0500
495,197,0.0500
496,196,0.0500
497,180,0.0500
498,231,0.0500
499,205,0.0500
500,181,0.0500
501,193,0.0500
502,247,0.0500
503,236,0.0500
504,331,0.0500
505,247,0.0500
506,260,0.0500
507,228,0.0500
508,167,0.0500
509,182,0.0500
510,327,0.0500
511,200,0.0500
512,241,0.0500
513,216,0.0500
514,264,0.0500
515,179,0.0500
516,217,0.0500
517,232,0.0500
518,215,0.0500
519,390,0.0500
520,209,0.0500
521,214,0.0500
522,192,0.0500
523,233,0.0500
524,234,0.0500
525,411,0.0500
526,358,0.0500
527,213,0.0500
528,193,0.0500
529,191,0.0500
530,188,0.0500
531,191,0.0500
532,197,0.0500
533,189,0.0500
534,218,0.0500
535,217,0.0500
536,475,0.0500
537,230,0.0500
538,181,0.0500
539,255,0.0500
540,201,0.0500
541,239,0.0500
542,226,0.0500
543,240,0.0500
544,238,0.0500
545,217,0.0500
546,201,0.0500
547,189,0.0500
548,245,0.0500
549,347,0.0500
550,179,0.0500
551,188,0.0500
552,217,0.0500
553,197,0.0500
554,203,0.0500
555,195,0.0500
556,456,0.0500
557,316,0.0500
558,249,0.0500
559,178,0.0500
560,229,0.0500
561,229,0.0500
562,183,0.0500
563,183,0.0500
564,220,0.0500
565,165,0.0500
566,253,0.0500
567,207,0.0500
568,206,0.0500
569,189,0.0500
570,297,0.0500
571,212,0.0500
572,181,0.0500
573,221,0.0500
574,314,0.0500
575,310,0.0500
576,171,0.0500
577,232,0.0500
578,269,0.0500
579,347,0.0500
580,189,0.0500
581,238,0.0500
582,317,0.0500
583,384,0.0500
584,187,0.0500
585,210,0.0500
586,201,0.0500
587,263,0.0500
588,178,0.0500
589,194,0.0500
590,188,0.0500
591,380,0.0500
592,229,0.0500
593,175,0.0500
594,261,0.0500
595,175,0.0500
596,206,0.0500
597,222,0.0500
598,233,0.0500
