Episode,Score,Epsilon
1,10,0.9511
2,18,0.8691
3,10,0.8266
4,16,0.7629
5,51,0.5908
6,33,0.5007
7,116,0.2799
8,77,0.1903
9,111,0.1091
10,126,0.0580
11,82,0.0500
12,81,0.0500
13,143,0.0500
14,138,0.0500
15,28,0.0500
16,46,0.0500
17,22,0.0500
18,22,0.0500
19,25,0.0500
20,20,0.0500
21,14,0.0500
22,19,0.0500
23,20,0.0500
24,16,0.0500
25,20,0.0500
26,19,0.0500
27,20,0.0500
28,12,0.0500
29,14,0.0500
30,16,0.0500
31,12,0.0500
32,14,0.0500
33,11,0.0500
34,14,0.0500
35,12,0.0500
36,12,0.0500
37,16,0.0500
38,14,0.0500
39,14,0.0500
40,10,0.0500
41,14,0.0500
42,12,0.0500
43,23,0.0500
44,15,0.0500
45,16,0.0500
46,45,0.0500
47,23,0.0500
48,16,0.0500
49,26,0.0500
50,21,0.0500
51,27,0.0500
52,20,0.0500
53,27,0.0500
54,26,0.0500
55,20,0.0500
56,14,0.0500
57,25,0.0500
58,25,0.0500
59,27,0.0500
60,31,0.0500
61,25,0.0500
62,18,0.0500
63,23,0.0500
64,38,0.0500
65,29,0.0500
66,26,0.0500
67,21,0.0500
68,17,0.0500
69,15,0.0500
70,17,0.0500
71,20,0.0500
72,61,0.0500
73,29,0.0500
74,11,0.0500
75,15,0.0500
76,18,0.0500
77,43,0.0500
78,33,0.0500
79,31,0.0500
80,54,0.0500
81,40,0.0500
82,20,0.0500
83,46,0.0500
84,17,0.0500
85,59,0.0500
86,30,0.0500
87,39,0.0500
88,42,0.0500
89,27,0.0500
90,60,0.0500
91,35,0.0500
92,44,0.0500
93,47,0.0500
94,63,0.0500
95,322,0.0500
96,170,0.0500
97,171,0.0500
98,175,0.0500
99,158,0.0500
100,201,0.0500
101,161,0.0500
102,175,0.0500
103,192,0.0500
104,168,0.0500
105,170,0.0500
106,182,0.0500
107,163,0.0500
108,175,0.0500
109,160,0.0500
110,143,0.0500
111,183,0.0500
112,184,0.0500
113,214,0.0500
114,168,0.0500
115,167,0.0500
116,168,0.0500
117,182,0.0500
118,178,0.0500
119,168,0.0500
120,273,0.0500
121,216,0.0500
122,238,0.0500
123,197,0.0500
124,166,0.0500
125,193,0.0500
126,193,0.0500
127,169,0.0500
128,158,0.0500
129,155,0.0500
130,163,0.0500
131,140,0.0500
132,143,0.0500
133,157,0.0500
134,137,0.0500
135,139,0.0500
136,153,0.0500
137,157,0.0500
138,140,0.0500
139,154,0.0500
140,151,0.0500
141,89,0.0500
142,136,0.0500
143,145,0.0500
144,159,0.0500
145,132,0.0500
146,146,0.0500
147,139,0.0500
148,139,0.0500
149,154,0.0500
150,136,0.0500
151,129,0.0500
152,134,0.0500
153,130,0.0500
154,146,0.0500
155,138,0.0500
156,156,0.0500
157,132,0.0500
158,141,0.0500
159,147,0.0500
160,150,0.0500
161,139,0.0500
162,134,0.0500
163,152,0.0500
164,141,0.0500
165,150,0.0500
166,156,0.0500
167,158,0.0500
168,14,0.0500
169,141,0.0500
170,132,0.0500
171,140,0.0500
172,140,0.0500
173,143,0.0500
174,145,0.0500
175,177,0.0500
176,146,0.0500
177,141,0.0500
178,140,0.0500
179,134,0.0500
180,148,0.0500
181,164,0.0500
182,143,0.0500
183,154,0.0500
184,184,0.0500
185,222,0.0500
186,217,0.0500
187,360,0.0500
188,363,0.0500
189,450,0.0500
190,237,0.0500
191,272,0.0500
192,262,0.0500
193,399,0.0500
194,449,0.0500
195,339,0.0500
196,500,0.0500
197,348,0.0500
198,263,0.0500
199,241,0.0500
200,333,0.0500
201,306,0.0500
202,49,0.0500
203,329,0.0500
204,280,0.0500
205,426,0.0500
206,499,0.0500
207,405,0.0500
208,287,0.0500
209,226,0.0500
210,226,0.0500
211,336,0.0500
212,375,0.0500
213,238,0.0500
214,239,0.0500
215,382,0.0500
216,300,0.0500
217,387,0.0500
218,351,0.0500
219,360,0.0500
220,428,0.0500
221,193,0.0500
222,466,0.0500
223,394,0.0500
224,318,0.0500
225,274,0.0500
226,422,0.0500
227,373,0.0500
228,500,0.0500
229,164,0.0500
230,500,0.0500
231,399,0.0500
232,389,0.0500
233,399,0.0500
234,153,0.0500
235,498,0.0500
236,223,0.0500
237,364,0.0500
238,264,0.0500
239,209,0.0500
240,321,0.0500
241,159,0.0500
242,219,0.0500
243,500,0.0500
244,254,0.0500
245,270,0.0500
246,500,0.0500
247,500,0.0500
248,500,0.0500
249,500,0.0500
250,364,0.0500
251,53,0.0500
252,500,0.0500
253,81,0.0500
254,500,0.0500
255,213,0.0500
256,500,0.0500
257,500,0.0500
258,72,0.0500
259,192,0.0500
260,500,0.0500
261,500,0.0500
262,178,0.0500
263,312,0.0500
264,31,0.0500
265,196,0.0500
266,500,0.0500
267,500,0.0500
268,500,0.0500
269,500,0.0500
270,500,0.0500
271,283,0.0500
272,238,0.0500
273,212,0.0500
274,234,0.0500
275,344,0.0500
276,295,0.0500
277,353,0.0500
278,500,0.0500
279,404,0.0500
280,472,0.0500
281,500,0.0500
282,493,0.0500
283,472,0.0500
