Episode,Score,Epsilon
1,18,0.9137
2,46,0.7256
3,16,0.6696
4,17,0.6149
5,17,0.5647
6,21,0.5083
7,23,0.4529
8,12,0.4265
9,11,0.4036
10,12,0.3801
11,17,0.3490
12,11,0.3303
13,9,0.3157
14,10,0.3003
15,11,0.2842
16,10,0.2703
17,11,0.2558
18,12,0.2409
19,11,0.2279
20,10,0.2168
21,10,0.2062
22,14,0.1922
23,10,0.1828
24,9,0.1748
25,10,0.1662
26,10,0.1581
27,10,0.1504
28,10,0.1430
29,9,0.1367
30,10,0.1300
31,9,0.1243
32,11,0.1176
33,11,0.1113
34,13,0.1043
35,8,0.1002
36,13,0.0939
37,13,0.0879
38,9,0.0841
39,12,0.0792
40,8,0.0760
41,10,0.0723
42,8,0.0695
43,10,0.0661
44,9,0.0632
45,9,0.0604
46,12,0.0569
47,10,0.0541
48,9,0.0517
49,11,0.0500
50,9,0.0500
51,10,0.0500
52,10,0.0500
53,10,0.0500
54,10,0.0500
55,13,0.0500
56,8,0.0500
57,9,0.0500
58,10,0.0500
59,10,0.0500
60,10,0.0500
61,9,0.0500
62,9,0.0500
63,10,0.0500
64,10,0.0500
65,10,0.0500
66,10,0.0500
67,9,0.0500
68,9,0.0500
69,8,0.0500
70,10,0.0500
71,9,0.0500
72,10,0.0500
73,10,0.0500
74,9,0.0500
75,9,0.0500
76,9,0.0500
77,10,0.0500
78,9,0.0500
79,9,0.0500
80,10,0.0500
81,8,0.0500
82,10,0.0500
83,10,0.0500
84,10,0.0500
85,9,0.0500
86,9,0.0500
87,10,0.0500
88,9,0.0500
89,9,0.0500
90,11,0.0500
91,10,0.0500
92,10,0.0500
93,11,0.0500
94,11,0.0500
95,9,0.0500
96,10,0.0500
97,9,0.0500
98,11,0.0500
99,12,0.0500
100,10,0.0500
101,9,0.0500
102,9,0.0500
103,9,0.0500
104,9,0.0500
105,10,0.0500
106,9,0.0500
107,14,0.0500
108,12,0.0500
109,9,0.0500
110,10,0.0500
111,10,0.0500
112,9,0.0500
113,9,0.0500
114,10,0.0500
115,13,0.0500
116,8,0.0500
117,9,0.0500
118,9,0.0500
119,13,0.0500
120,9,0.0500
121,11,0.0500
122,10,0.0500
123,10,0.0500
124,8,0.0500
125,9,0.0500
126,10,0.0500
127,9,0.0500
128,9,0.0500
129,8,0.0500
130,9,0.0500
131,11,0.0500
132,9,0.0500
133,9,0.0500
134,9,0.0500
135,15,0.0500
136,12,0.0500
137,9,0.0500
138,9,0.0500
139,10,0.0500
140,9,0.0500
141,8,0.0500
142,19,0.0500
143,10,0.0500
144,9,0.0500
145,22,0.0500
146,9,0.0500
147,17,0.0500
148,9,0.0500
149,9,0.0500
150,13,0.0500
151,9,0.0500
152,8,0.0500
153,10,0.0500
154,10,0.0500
155,10,0.0500
156,10,0.0500
157,10,0.0500
158,9,0.0500
159,10,0.0500
160,10,0.0500
161,15,0.0500
162,9,0.0500
163,15,0.0500
164,10,0.0500
165,9,0.0500
166,10,0.0500
167,24,0.0500
168,9,0.0500
169,10,0.0500
170,9,0.0500
171,12,0.0500
172,20,0.0500
173,11,0.0500
174,14,0.0500
175,14,0.0500
176,11,0.0500
177,10,0.0500
178,11,0.0500
179,18,0.0500
180,16,0.0500
181,12,0.0500
182,11,0.0500
183,41,0.0500
