Episode,Score,Epsilon
1,17,0.0000
2,25,0.0000
3,29,0.0000
4,17,0.0000
5,15,0.0000
6,20,0.0000
7,28,0.0000
8,28,0.0000
9,23,0.0000
10,52,0.0000
11,18,0.0000
12,11,0.0000
13,19,0.0000
14,53,0.0000
15,53,0.0000
16,29,0.0000
17,33,0.0000
18,26,0.0000
19,28,0.0000
20,23,0.0000
21,34,0.0000
22,29,0.0000
23,23,0.0000
24,32,0.0000
25,25,0.0000
26,14,0.0000
27,48,0.0000
28,23,0.0000
29,67,0.0000
30,109,0.0000
31,12,0.0000
32,30,0.0000
33,16,0.0000
34,45,0.0000
35,29,0.0000
36,36,0.0000
37,41,0.0000
38,41,0.0000
39,40,0.0000
40,19,0.0000
41,27,0.0000
42,39,0.0000
43,27,0.0000
44,45,0.0000
45,24,0.0000
46,58,0.0000
47,16,0.0000
48,64,0.0000
49,90,0.0000
50,17,0.0000
51,37,0.0000
52,30,0.0000
53,63,0.0000
54,74,0.0000
55,27,0.0000
56,42,0.0000
57,29,0.0000
58,48,0.0000
59,36,0.0000
60,35,0.0000
61,34,0.0000
62,37,0.0000
63,39,0.0000
64,32,0.0000
65,37,0.0000
66,60,0.0000
67,76,0.0000
68,74,0.0000
69,22,0.0000
70,86,0.0000
71,57,0.0000
72,80,0.0000
73,23,0.0000
74,56,0.0000
75,53,0.0000
76,24,0.0000
77,17,0.0000
78,29,0.0000
79,60,0.0000
80,67,0.0000
81,42,0.0000
82,14,0.0000
83,64,0.0000
84,27,0.0000
85,24,0.0000
86,34,0.0000
87,52,0.0000
88,24,0.0000
89,52,0.0000
90,78,0.0000
91,50,0.0000
92,64,0.0000
93,67,0.0000
94,28,0.0000
95,39,0.0000
96,54,0.0000
97,105,0.0000
98,27,0.0000
99,63,0.0000
100,40,0.0000
101,71,0.0000
102,42,0.0000
103,51,0.0000
104,44,0.0000
105,35,0.0000
106,87,0.0000
107,89,0.0000
108,54,0.0000
109,35,0.0000
110,91,0.0000
111,119,0.0000
112,34,0.0000
113,45,0.0000
114,144,0.0000
115,59,0.0000
116,72,0.0000
117,31,0.0000
118,34,0.0000
119,88,0.0000
120,62,0.0000
121,58,0.0000
122,140,0.0000
123,110,0.0000
124,57,0.0000
125,129,0.0000
126,98,0.0000
127,97,0.0000
128,67,0.0000
129,30,0.0000
130,157,0.0000
131,109,0.0000
132,24,0.0000
133,31,0.0000
134,90,0.0000
135,34,0.0000
136,105,0.0000
137,85,0.0000
138,80,0.0000
139,110,0.0000
140,48,0.0000
141,131,0.0000
142,109,0.0000
143,155,0.0000
144,92,0.0000
145,192,0.0000
146,92,0.0000
147,20,0.0000
148,21,0.0000
149,94,0.0000
150,126,0.0000
151,103,0.0000
152,16,0.0000
153,59,0.0000
154,49,0.0000
155,84,0.0000
156,214,0.0000
157,294,0.0000
158,20,0.0000
159,17,0.0000
160,109,0.0000
161,59,0.0000
162,156,0.0000
163,61,0.0000
164,134,0.0000
165,147,0.0000
166,99,0.0000
167,118,0.0000
168,21,0.0000
169,139,0.0000
170,23,0.0000
171,108,0.0000
172,83,0.0000
173,120,0.0000
174,156,0.0000
175,86,0.0000
176,30,0.0000
177,115,0.0000
178,295,0.0000
179,162,0.0000
180,167,0.0000
181,58,0.0000
182,126,0.0000
183,80,0.0000
184,63,0.0000
185,174,0.0000
186,76,0.0000
187,127,0.0000
188,313,0.0000
189,151,0.0000
190,52,0.0000
191,60,0.0000
192,49,0.0000
193,48,0.0000
194,328,0.0000
195,137,0.0000
196,58,0.0000
197,57,0.0000
198,20,0.0000
199,96,0.0000
200,115,0.0000
201,96,0.0000
202,168,0.0000
203,237,0.0000
204,106,0.0000
205,212,0.0000
206,87,0.0000
207,54,0.0000
208,79,0.0000
209,38,0.0000
210,37,0.0000
211,183,0.0000
212,137,0.0000
213,334,0.0000
214,78,0.0000
215,21,0.0000
216,246,0.0000
217,136,0.0000
218,135,0.0000
219,43,0.0000
220,102,0.0000
221,271,0.0000
222,204,0.0000
223,218,0.0000
224,133,0.0000
225,135,0.0000
226,109,0.0000
227,225,0.0000
228,110,0.0000
229,246,0.0000
230,205,0.0000
231,144,0.0000
232,121,0.0000
233,106,0.0000
234,211,0.0000
235,311,0.0000
236,136,0.0000
237,207,0.0000
238,121,0.0000
239,142,0.0000
240,142,0.0000
241,230,0.0000
242,239,0.0000
243,188,0.0000
244,230,0.0000
245,93,0.0000
246,126,0.0000
247,116,0.0000
248,500,0.0000
249,78,0.0000
250,190,0.0000
251,242,0.0000
252,202,0.0000
253,500,0.0000
254,30,0.0000
255,30,0.0000
256,227,0.0000
257,62,0.0000
258,38,0.0000
259,296,0.0000
260,238,0.0000
261,340,0.0000
262,235,0.0000
263,108,0.0000
264,315,0.0000
265,305,0.0000
266,322,0.0000
267,212,0.0000
268,215,0.0000
269,106,0.0000
270,230,0.0000
271,242,0.0000
272,152,0.0000
273,336,0.0000
274,128,0.0000
275,81,0.0000
276,462,0.0000
277,171,0.0000
278,96,0.0000
279,208,0.0000
280,356,0.0000
281,248,0.0000
282,253,0.0000
283,56,0.0000
284,255,0.0000
285,500,0.0000
286,224,0.0000
287,419,0.0000
288,268,0.0000
289,217,0.0000
290,128,0.0000
291,209,0.0000
292,132,0.0000
293,119,0.0000
294,386,0.0000
295,217,0.0000
296,51,0.0000
297,115,0.0000
298,362,0.0000
299,320,0.0000
300,130,0.0000
301,192,0.0000
302,213,0.0000
303,223,0.0000
304,261,0.0000
305,298,0.0000
306,143,0.0000
307,144,0.0000
308,386,0.0000
309,95,0.0000
310,385,0.0000
311,301,0.0000
312,435,0.0000
313,500,0.0000
314,70,0.0000
315,449,0.0000
316,347,0.0000
317,388,0.0000
318,182,0.0000
319,500,0.0000
320,135,0.0000
321,240,0.0000
322,500,0.0000
323,305,0.0000
324,145,0.0000
325,233,0.0000
326,121,0.0000
327,277,0.0000
328,500,0.0000
329,224,0.0000
330,399,0.0000
331,214,0.0000
332,218,0.0000
333,124,0.0000
334,402,0.0000
335,108,0.0000
336,205,0.0000
337,334,0.0000
338,309,0.0000
339,110,0.0000
340,292,0.0000
341,303,0.0000
342,255,0.0000
343,145,0.0000
344,256,0.0000
345,389,0.0000
346,303,0.0000
347,236,0.0000
348,207,0.0000
349,250,0.0000
350,189,0.0000
351,183,0.0000
352,179,0.0000
353,429,0.0000
354,297,0.0000
355,133,0.0000
356,200,0.0000
357,274,0.0000
358,147,0.0000
359,204,0.0000
360,201,0.0000
361,194,0.0000
362,169,0.0000
363,186,0.0000
364,189,0.0000
365,223,0.0000
366,300,0.0000
367,500,0.0000
368,289,0.0000
369,94,0.0000
370,462,0.0000
371,319,0.0000
372,290,0.0000
373,263,0.0000
374,158,0.0000
375,500,0.0000
376,152,0.0000
377,410,0.0000
378,184,0.0000
379,186,0.0000
380,161,0.0000
381,320,0.0000
382,390,0.0000
383,127,0.0000
384,177,0.0000
385,227,0.0000
386,142,0.0000
387,237,0.0000
388,251,0.0000
389,138,0.0000
390,278,0.0000
391,207,0.0000
392,57,0.0000
393,500,0.0000
394,396,0.0000
395,452,0.0000
396,232,0.0000
397,234,0.0000
398,343,0.0000
399,319,0.0000
400,338,0.0000
401,500,0.0000
402,169,0.0000
403,500,0.0000
404,500,0.0000
405,218,0.0000
406,500,0.0000
407,500,0.0000
408,229,0.0000
409,451,0.0000
410,419,0.0000
411,343,0.0000
412,500,0.0000
413,292,0.0000
414,500,0.0000
415,372,0.0000
416,90,0.0000
417,258,0.0000
418,470,0.0000
419,410,0.0000
420,500,0.0000
421,402,0.0000
422,500,0.0000
423,500,0.0000
424,500,0.0000
425,276,0.0000
426,465,0.0000
427,500,0.0000
428,435,0.0000
429,500,0.0000
430,310,0.0000
431,334,0.0000
432,500,0.0000
433,418,0.0000
434,392,0.0000
435,199,0.0000
436,500,0.0000
437,300,0.0000
438,387,0.0000
439,192,0.0000
440,500,0.0000
441,177,0.0000
442,308,0.0000
443,377,0.0000
444,271,0.0000
445,398,0.0000
446,500,0.0000
447,500,0.0000
448,319,0.0000
449,500,0.0000
450,500,0.0000
451,500,0.0000
452,500,0.0000
453,500,0.0000
454,500,0.0000
455,259,0.0000
456,500,0.0000
457,500,0.0000
458,131,0.0000
459,500,0.0000
460,500,0.0000
461,500,0.0000
462,314,0.0000
463,500,0.0000
464,500,0.0000
465,189,0.0000
466,331,0.0000
467,500,0.0000
468,417,0.0000
469,262,0.0000
470,500,0.0000
471,134,0.0000
472,294,0.0000
473,500,0.0000
474,391,0.0000
475,356,0.0000
476,160,0.0000
477,386,0.0000
478,457,0.0000
479,283,0.0000
480,253,0.0000
481,112,0.0000
482,500,0.0000
483,392,0.0000
484,500,0.0000
485,376,0.0000
486,500,0.0000
487,410,0.0000
488,500,0.0000
489,194,0.0000
490,500,0.0000
491,334,0.0000
492,500,0.0000
493,368,0.0000
494,500,0.0000
495,430,0.0000
496,273,0.0000
497,500,0.0000
498,483,0.0000
499,374,0.0000
500,385,0.0000
