Episode,Score,Epsilon
1,19,0.9092
2,21,0.8183
3,15,0.7590
4,13,0.7112
5,15,0.6597
6,9,0.6306
7,16,0.5820
8,10,0.5535
9,15,0.5134
10,13,0.4810
11,12,0.4529
12,9,0.4330
13,15,0.4016
14,15,0.3725
15,9,0.3561
16,9,0.3404
17,10,0.3237
18,10,0.3079
19,10,0.2929
20,8,0.2813
21,14,0.2623
22,8,0.2520
23,8,0.2421
24,10,0.2302
25,9,0.2201
26,10,0.2093
27,10,0.1991
28,10,0.1893
29,11,0.1792
30,8,0.1721
31,10,0.1637
32,11,0.1549
33,10,0.1474
34,9,0.1409
35,11,0.1333
36,10,0.1268
37,9,0.1212
38,10,0.1153
39,12,0.1085
40,11,0.1027
41,9,0.0982
42,10,0.0934
43,8,0.0897
44,9,0.0858
45,10,0.0816
46,9,0.0780
47,9,0.0745
48,9,0.0712
49,10,0.0678
50,10,0.0645
51,9,0.0616
52,11,0.0583
53,9,0.0557
54,8,0.0535
55,12,0.0504
56,13,0.0500
57,12,0.0500
58,9,0.0500
59,8,0.0500
60,8,0.0500
61,10,0.0500
62,10,0.0500
63,9,0.0500
64,8,0.0500
65,9,0.0500
66,8,0.0500
67,9,0.0500
68,10,0.0500
69,10,0.0500
70,9,0.0500
71,10,0.0500
72,10,0.0500
73,9,0.0500
74,10,0.0500
75,10,0.0500
76,10,0.0500
77,10,0.0500
78,10,0.0500
79,10,0.0500
80,8,0.0500
81,10,0.0500
82,9,0.0500
83,10,0.0500
84,10,0.0500
85,9,0.0500
86,10,0.0500
87,9,0.0500
88,10,0.0500
89,10,0.0500
90,9,0.0500
91,12,0.0500
92,9,0.0500
93,9,0.0500
94,10,0.0500
95,9,0.0500
96,9,0.0500
97,10,0.0500
98,8,0.0500
99,10,0.0500
100,9,0.0500
101,12,0.0500
102,10,0.0500
103,9,0.0500
104,9,0.0500
105,8,0.0500
106,8,0.0500
107,10,0.0500
108,10,0.0500
109,10,0.0500
110,10,0.0500
111,10,0.0500
112,10,0.0500
113,9,0.0500
114,10,0.0500
115,10,0.0500
116,12,0.0500
117,10,0.0500
118,9,0.0500
119,11,0.0500
120,10,0.0500
121,11,0.0500
122,10,0.0500
123,10,0.0500
124,13,0.0500
125,10,0.0500
126,9,0.0500
127,10,0.0500
128,11,0.0500
129,12,0.0500
130,10,0.0500
131,11,0.0500
132,13,0.0500
133,10,0.0500
134,10,0.0500
135,12,0.0500
136,9,0.0500
137,12,0.0500
138,12,0.0500
139,10,0.0500
140,10,0.0500
141,9,0.0500
142,11,0.0500
143,10,0.0500
144,9,0.0500
145,11,0.0500
146,10,0.0500
147,10,0.0500
148,10,0.0500
149,9,0.0500
150,10,0.0500
151,11,0.0500
152,9,0.0500
153,9,0.0500
154,9,0.0500
155,10,0.0500
156,9,0.0500
157,9,0.0500
158,11,0.0500
159,9,0.0500
160,10,0.0500
161,9,0.0500
162,11,0.0500
163,10,0.0500
164,9,0.0500
165,11,0.0500
166,11,0.0500
167,10,0.0500
168,11,0.0500
169,10,0.0500
170,13,0.0500
171,10,0.0500
172,10,0.0500
173,9,0.0500
174,11,0.0500
175,8,0.0500
176,11,0.0500
177,10,0.0500
178,9,0.0500
179,11,0.0500
180,10,0.0500
181,10,0.0500
182,9,0.0500
183,10,0.0500
184,11,0.0500
185,9,0.0500
186,13,0.0500
187,10,0.0500
188,13,0.0500
189,10,0.0500
190,11,0.0500
191,9,0.0500
192,8,0.0500
193,10,0.0500
194,9,0.0500
195,10,0.0500
196,11,0.0500
197,10,0.0500
198,8,0.0500
199,8,0.0500
200,8,0.0500
201,10,0.0500
202,11,0.0500
203,8,0.0500
204,11,0.0500
205,11,0.0500
206,12,0.0500
207,11,0.0500
208,10,0.0500
209,10,0.0500
210,10,0.0500
211,9,0.0500
212,10,0.0500
213,10,0.0500
214,9,0.0500
215,11,0.0500
216,10,0.0500
217,11,0.0500
218,11,0.0500
219,11,0.0500
220,12,0.0500
221,12,0.0500
222,14,0.0500
223,11,0.0500
224,10,0.0500
225,13,0.0500
226,11,0.0500
227,9,0.0500
228,11,0.0500
229,12,0.0500
230,8,0.0500
231,12,0.0500
232,10,0.0500
233,30,0.0500
234,13,0.0500
235,10,0.0500
236,46,0.0500
237,28,0.0500
238,11,0.0500
239,10,0.0500
240,9,0.0500
241,11,0.0500
242,10,0.0500
243,11,0.0500
244,10,0.0500
245,9,0.0500
246,13,0.0500
247,11,0.0500
248,10,0.0500
249,14,0.0500
250,9,0.0500
251,11,0.0500
252,15,0.0500
253,12,0.0500
254,18,0.0500
255,16,0.0500
256,19,0.0500
257,17,0.0500
258,21,0.0500
259,34,0.0500
260,26,0.0500
261,11,0.0500
262,10,0.0500
263,20,0.0500
264,22,0.0500
265,15,0.0500
266,14,0.0500
267,13,0.0500
268,15,0.0500
269,16,0.0500
270,15,0.0500
271,15,0.0500
272,23,0.0500
273,11,0.0500
274,11,0.0500
275,10,0.0500
276,12,0.0500
277,12,0.0500
278,14,0.0500
279,17,0.0500
280,27,0.0500
281,19,0.0500
282,32,0.0500
283,19,0.0500
284,28,0.0500
285,45,0.0500
286,28,0.0500
287,60,0.0500
288,52,0.0500
289,41,0.0500
290,34,0.0500
291,29,0.0500
292,26,0.0500
293,21,0.0500
294,39,0.0500
295,41,0.0500
296,27,0.0500
297,36,0.0500
298,49,0.0500
299,37,0.0500
300,40,0.0500
301,62,0.0500
302,66,0.0500
303,58,0.0500
304,27,0.0500
305,31,0.0500
306,26,0.0500
307,46,0.0500
308,40,0.0500
309,48,0.0500
310,45,0.0500
311,43,0.0500
312,35,0.0500
313,46,0.0500
314,51,0.0500
315,42,0.0500
316,42,0.0500
317,66,0.0500
318,84,0.0500
319,51,0.0500
320,57,0.0500
321,68,0.0500
322,57,0.0500
323,80,0.0500
324,51,0.0500
325,76,0.0500
326,74,0.0500
327,73,0.0500
328,99,0.0500
329,61,0.0500
330,103,0.0500
331,76,0.0500
332,82,0.0500
333,118,0.0500
334,71,0.0500
335,78,0.0500
336,222,0.0500
337,90,0.0500
338,115,0.0500
339,160,0.0500
340,177,0.0500
341,120,0.0500
342,102,0.0500
343,98,0.0500
344,189,0.0500
345,215,0.0500
346,78,0.0500
347,143,0.0500
348,123,0.0500
349,177,0.0500
350,190,0.0500
351,94,0.0500
352,115,0.0500
353,154,0.0500
354,120,0.0500
355,168,0.0500
356,112,0.0500
357,97,0.0500
358,148,0.0500
359,132,0.0500
360,192,0.0500
361,112,0.0500
362,113,0.0500
363,206,0.0500
364,89,0.0500
365,152,0.0500
366,92,0.0500
367,153,0.0500
368,119,0.0500
369,119,0.0500
370,121,0.0500
371,106,0.0500
372,111,0.0500
373,178,0.0500
374,109,0.0500
375,141,0.0500
376,103,0.0500
377,107,0.0500
378,109,0.0500
379,112,0.0500
380,117,0.0500
381,208,0.0500
382,127,0.0500
383,125,0.0500
384,130,0.0500
385,112,0.0500
386,130,0.0500
387,120,0.0500
388,135,0.0500
389,110,0.0500
390,146,0.0500
391,143,0.0500
392,132,0.0500
393,132,0.0500
394,142,0.0500
395,136,0.0500
396,126,0.0500
397,131,0.0500
398,145,0.0500
399,141,0.0500
400,153,0.0500
401,125,0.0500
402,122,0.0500
403,130,0.0500
404,125,0.0500
405,154,0.0500
406,132,0.0500
407,136,0.0500
408,129,0.0500
409,120,0.0500
410,168,0.0500
411,158,0.0500
412,126,0.0500
413,114,0.0500
414,142,0.0500
415,174,0.0500
416,124,0.0500
417,170,0.0500
418,140,0.0500
419,158,0.0500
420,186,0.0500
421,129,0.0500
422,143,0.0500
423,164,0.0500
424,142,0.0500
425,125,0.0500
426,125,0.0500
427,154,0.0500
428,146,0.0500
429,148,0.0500
430,178,0.0500
431,135,0.0500
432,138,0.0500
433,131,0.0500
434,126,0.0500
435,137,0.0500
436,128,0.0500
437,140,0.0500
438,177,0.0500
439,224,0.0500
440,151,0.0500
441,141,0.0500
442,128,0.0500
443,137,0.0500
444,166,0.0500
445,141,0.0500
446,143,0.0500
447,146,0.0500
448,126,0.0500
449,165,0.0500
450,145,0.0500
451,153,0.0500
452,167,0.0500
453,132,0.0500
454,126,0.0500
455,136,0.0500
456,130,0.0500
457,129,0.0500
458,127,0.0500
459,140,0.0500
460,141,0.0500
461,134,0.0500
462,156,0.0500
463,144,0.0500
464,159,0.0500
465,150,0.0500
466,132,0.0500
467,150,0.0500
468,145,0.0500
469,136,0.0500
470,123,0.0500
471,126,0.0500
472,149,0.0500
473,139,0.0500
474,150,0.0500
475,124,0.0500
476,140,0.0500
477,152,0.0500
478,126,0.0500
479,127,0.0500
480,145,0.0500
481,150,0.0500
482,153,0.0500
483,126,0.0500
484,142,0.0500
485,141,0.0500
486,140,0.0500
487,145,0.0500
488,133,0.0500
489,150,0.0500
490,140,0.0500
491,141,0.0500
492,142,0.0500
493,153,0.0500
494,178,0.0500
495,154,0.0500
496,148,0.0500
497,148,0.0500
498,135,0.0500
499,135,0.0500
500,143,0.0500
501,151,0.0500
502,142,0.0500
503,145,0.0500
504,133,0.0500
505,140,0.0500
506,127,0.0500
507,132,0.0500
508,155,0.0500
509,143,0.0500
510,127,0.0500
511,148,0.0500
512,122,0.0500
513,131,0.0500
514,135,0.0500
515,167,0.0500
516,118,0.0500
517,134,0.0500
518,134,0.0500
519,128,0.0500
520,125,0.0500
521,141,0.0500
522,141,0.0500
523,129,0.0500
524,128,0.0500
525,124,0.0500
526,127,0.0500
527,133,0.0500
528,150,0.0500
529,143,0.0500
530,150,0.0500
531,150,0.0500
532,119,0.0500
533,159,0.0500
534,133,0.0500
535,146,0.0500
536,123,0.0500
537,136,0.0500
538,147,0.0500
539,128,0.0500
540,122,0.0500
541,131,0.0500
542,137,0.0500
543,134,0.0500
544,132,0.0500
545,139,0.0500
546,138,0.0500
547,143,0.0500
548,136,0.0500
549,121,0.0500
550,161,0.0500
551,157,0.0500
552,130,0.0500
553,144,0.0500
554,146,0.0500
555,118,0.0500
556,127,0.0500
557,134,0.0500
558,139,0.0500
559,163,0.0500
560,134,0.0500
561,138,0.0500
562,150,0.0500
563,149,0.0500
564,137,0.0500
565,162,0.0500
566,141,0.0500
567,137,0.0500
568,139,0.0500
569,156,0.0500
570,129,0.0500
571,137,0.0500
572,166,0.0500
573,141,0.0500
574,136,0.0500
575,128,0.0500
576,176,0.0500
577,136,0.0500
578,127,0.0500
579,126,0.0500
580,117,0.0500
581,140,0.0500
582,125,0.0500
583,123,0.0500
584,182,0.0500
585,146,0.0500
586,125,0.0500
587,142,0.0500
588,209,0.0500
589,168,0.0500
