Episode,Score,Epsilon
1,11,0.9464
2,14,0.8822
3,12,0.8307
4,8,0.7981
5,16,0.7366
6,14,0.6866
7,31,0.5878
8,10,0.5591
9,11,0.5291
10,15,0.4908
11,14,0.4575
12,12,0.4308
13,9,0.4118
14,12,0.3878
15,11,0.3670
16,13,0.3438
17,9,0.3286
18,11,0.3110
19,12,0.2929
20,11,0.2771
21,19,0.2520
22,13,0.2361
23,10,0.2245
24,9,0.2146
25,10,0.2041
26,10,0.1942
27,12,0.1828
28,9,0.1748
29,9,0.1670
30,10,0.1589
31,9,0.1519
32,10,0.1444
33,8,0.1388
34,10,0.1320
35,8,0.1268
36,8,0.1218
37,13,0.1141
38,9,0.1091
39,10,0.1038
40,8,0.0997
41,10,0.0948
42,8,0.0911
43,10,0.0866
44,9,0.0828
45,9,0.0792
46,13,0.0742
47,10,0.0705
48,9,0.0674
49,10,0.0641
50,10,0.0610
51,10,0.0580
52,10,0.0552
53,10,0.0525
54,10,0.0500
55,10,0.0500
56,8,0.0500
57,9,0.0500
58,10,0.0500
59,10,0.0500
60,10,0.0500
61,9,0.0500
62,11,0.0500
63,10,0.0500
64,12,0.0500
65,10,0.0500
66,10,0.0500
67,9,0.0500
68,13,0.0500
69,8,0.0500
70,10,0.0500
71,10,0.0500
72,10,0.0500
73,10,0.0500
74,10,0.0500
75,9,0.0500
76,9,0.0500
77,10,0.0500
78,9,0.0500
79,9,0.0500
80,10,0.0500
81,8,0.0500
82,10,0.0500
83,9,0.0500
84,9,0.0500
85,9,0.0500
86,9,0.0500
87,10,0.0500
88,9,0.0500
89,10,0.0500
90,9,0.0500
91,9,0.0500
92,10,0.0500
93,10,0.0500
94,9,0.0500
95,10,0.0500
96,11,0.0500
97,9,0.0500
98,10,0.0500
99,9,0.0500
100,11,0.0500
101,9,0.0500
102,9,0.0500
103,10,0.0500
104,11,0.0500
105,11,0.0500
106,11,0.0500
107,10,0.0500
108,12,0.0500
109,10,0.0500
110,9,0.0500
111,10,0.0500
112,9,0.0500
113,11,0.0500
114,10,0.0500
115,10,0.0500
116,8,0.0500
117,10,0.0500
118,13,0.0500
119,9,0.0500
120,10,0.0500
121,9,0.0500
122,10,0.0500
123,11,0.0500
124,8,0.0500
125,10,0.0500
126,11,0.0500
127,10,0.0500
128,11,0.0500
129,10,0.0500
130,10,0.0500
131,10,0.0500
132,9,0.0500
133,10,0.0500
134,9,0.0500
135,8,0.0500
136,11,0.0500
137,10,0.0500
138,9,0.0500
139,11,0.0500
140,9,0.0500
141,8,0.0500
142,9,0.0500
143,9,0.0500
144,9,0.0500
145,11,0.0500
146,10,0.0500
147,12,0.0500
148,9,0.0500
149,10,0.0500
150,9,0.0500
151,9,0.0500
152,11,0.0500
153,11,0.0500
154,11,0.0500
155,10,0.0500
156,11,0.0500
157,10,0.0500
158,9,0.0500
159,10,0.0500
160,10,0.0500
161,10,0.0500
162,12,0.0500
163,11,0.0500
164,9,0.0500
165,11,0.0500
166,11,0.0500
167,10,0.0500
168,10,0.0500
169,9,0.0500
170,10,0.0500
171,9,0.0500
172,10,0.0500
173,9,0.0500
174,10,0.0500
175,9,0.0500
176,11,0.0500
177,10,0.0500
178,8,0.0500
179,11,0.0500
180,9,0.0500
181,9,0.0500
182,10,0.0500
183,11,0.0500
184,11,0.0500
185,9,0.0500
186,11,0.0500
187,10,0.0500
188,11,0.0500
189,9,0.0500
190,11,0.0500
191,8,0.0500
192,8,0.0500
193,10,0.0500
194,9,0.0500
195,10,0.0500
196,10,0.0500
197,12,0.0500
198,8,0.0500
199,11,0.0500
200,12,0.0500
201,11,0.0500
202,10,0.0500
203,8,0.0500
204,10,0.0500
205,10,0.0500
206,11,0.0500
207,9,0.0500
208,9,0.0500
209,10,0.0500
210,10,0.0500
211,9,0.0500
212,10,0.0500
213,10,0.0500
214,9,0.0500
215,11,0.0500
216,9,0.0500
217,10,0.0500
218,11,0.0500
219,12,0.0500
220,13,0.0500
221,11,0.0500
222,9,0.0500
223,29,0.0500
224,10,0.0500
225,9,0.0500
226,17,0.0500
227,10,0.0500
228,10,0.0500
229,8,0.0500
230,8,0.0500
231,11,0.0500
232,10,0.0500
233,9,0.0500
234,9,0.0500
235,8,0.0500
236,12,0.0500
237,9,0.0500
238,12,0.0500
239,11,0.0500
240,27,0.0500
241,11,0.0500
242,10,0.0500
243,12,0.0500
244,11,0.0500
245,9,0.0500
246,22,0.0500
247,15,0.0500
248,9,0.0500
249,12,0.0500
250,9,0.0500
251,10,0.0500
252,13,0.0500
253,21,0.0500
254,13,0.0500
255,12,0.0500
256,13,0.0500
257,14,0.0500
258,16,0.0500
259,12,0.0500
260,13,0.0500
261,18,0.0500
262,26,0.0500
263,11,0.0500
264,14,0.0500
265,16,0.0500
266,28,0.0500
267,17,0.0500
268,14,0.0500
269,16,0.0500
270,20,0.0500
271,48,0.0500
272,42,0.0500
273,17,0.0500
274,16,0.0500
275,25,0.0500
276,56,0.0500
277,47,0.0500
278,76,0.0500
279,57,0.0500
280,44,0.0500
281,129,0.0500
282,116,0.0500
283,107,0.0500
284,96,0.0500
285,83,0.0500
286,77,0.0500
287,172,0.0500
288,76,0.0500
289,150,0.0500
290,91,0.0500
291,114,0.0500
292,87,0.0500
293,128,0.0500
294,135,0.0500
295,172,0.0500
296,179,0.0500
297,125,0.0500
298,176,0.0500
299,162,0.0500
300,285,0.0500
301,149,0.0500
302,126,0.0500
303,197,0.0500
304,317,0.0500
305,250,0.0500
306,127,0.0500
307,193,0.0500
308,202,0.0500
309,219,0.0500
310,232,0.0500
311,215,0.0500
312,238,0.0500
313,244,0.0500
314,194,0.0500
315,236,0.0500
316,194,0.0500
317,182,0.0500
318,179,0.0500
319,261,0.0500
320,211,0.0500
321,229,0.0500
322,252,0.0500
323,205,0.0500
324,284,0.0500
325,262,0.0500
326,299,0.0500
327,230,0.0500
328,198,0.0500
329,288,0.0500
330,163,0.0500
331,222,0.0500
332,410,0.0500
333,173,0.0500
334,243,0.0500
335,257,0.0500
336,177,0.0500
337,234,0.0500
338,208,0.0500
339,210,0.0500
340,209,0.0500
341,218,0.0500
342,220,0.0500
343,213,0.0500
344,188,0.0500
345,199,0.0500
346,195,0.0500
347,253,0.0500
348,294,0.0500
349,235,0.0500
350,183,0.0500
351,288,0.0500
352,223,0.0500
353,209,0.0500
354,325,0.0500
355,316,0.0500
356,244,0.0500
357,214,0.0500
358,284,0.0500
359,317,0.0500
360,160,0.0500
361,209,0.0500
362,197,0.0500
363,173,0.0500
364,183,0.0500
365,184,0.0500
366,181,0.0500
367,206,0.0500
368,287,0.0500
