Episode,Score,Epsilon
1,10,0.0000
2,10,0.0000
3,29,0.0000
4,22,0.0000
5,74,0.0000
6,22,0.0000
7,24,0.0000
8,15,0.0000
9,15,0.0000
10,54,0.0000
11,22,0.0000
12,32,0.0000
13,39,0.0000
14,20,0.0000
15,47,0.0000
16,14,0.0000
17,16,0.0000
18,63,0.0000
19,19,0.0000
20,38,0.0000
21,39,0.0000
22,26,0.0000
23,19,0.0000
24,36,0.0000
25,21,0.0000
26,19,0.0000
27,27,0.0000
28,31,0.0000
29,42,0.0000
30,31,0.0000
31,14,0.0000
32,64,0.0000
33,38,0.0000
34,39,0.0000
35,34,0.0000
36,17,0.0000
37,74,0.0000
38,20,0.0000
39,38,0.0000
40,96,0.0000
41,51,0.0000
42,50,0.0000
43,39,0.0000
44,54,0.0000
45,33,0.0000
46,56,0.0000
47,19,0.0000
48,134,0.0000
49,60,0.0000
50,38,0.0000
51,33,0.0000
52,58,0.0000
53,22,0.0000
54,32,0.0000
55,18,0.0000
56,46,0.0000
57,56,0.0000
58,31,0.0000
59,47,0.0000
60,31,0.0000
61,35,0.0000
62,95,0.0000
63,15,0.0000
64,55,0.0000
65,82,0.0000
66,20,0.0000
67,25,0.0000
68,39,0.0000
69,34,0.0000
70,45,0.0000
71,33,0.0000
72,20,0.0000
73,74,0.0000
74,72,0.0000
75,65,0.0000
76,20,0.0000
77,88,0.0000
78,150,0.0000
79,65,0.0000
80,75,0.0000
81,38,0.0000
82,78,0.0000
83,90,0.0000
84,43,0.0000
85,86,0.0000
86,28,0.0000
87,117,0.0000
88,27,0.0000
89,150,0.0000
90,51,0.0000
91,36,0.0000
92,93,0.0000
93,129,0.0000
94,134,0.0000
95,45,0.0000
96,67,0.0000
97,103,0.0000
98,64,0.0000
99,79,0.0000
100,30,0.0000
101,73,0.0000
102,43,0.0000
103,94,0.0000
104,24,0.0000
105,93,0.0000
106,37,0.0000
107,38,0.0000
108,49,0.0000
109,127,0.0000
110,49,0.0000
111,43,0.0000
112,60,0.0000
113,122,0.0000
114,37,0.0000
115,72,0.0000
116,27,0.0000
