Episode,Score,Epsilon
1,21,0.9001
2,26,0.7901
3,12,0.7440
4,10,0.7076
5,18,0.6466
6,14,0.6027
7,21,0.5425
8,11,0.5134
9,14,0.4786
10,10,0.4552
11,9,0.4351
12,10,0.4139
13,9,0.3956
14,13,0.3707
15,11,0.3508
16,18,0.3205
17,13,0.3003
18,12,0.2828
19,9,0.2703
20,11,0.2558
21,9,0.2445
22,10,0.2326
23,12,0.2190
24,12,0.2062
25,12,0.1942
26,12,0.1828
27,12,0.1721
28,12,0.1621
29,9,0.1549
30,11,0.1466
31,9,0.1402
32,10,0.1333
33,8,0.1281
34,13,0.1200
35,10,0.1141
36,8,0.1096
37,12,0.1032
38,9,0.0987
39,10,0.0939
40,8,0.0902
41,11,0.0853
42,10,0.0812
43,10,0.0772
44,9,0.0738
45,9,0.0705
46,10,0.0671
47,10,0.0638
48,11,0.0604
49,10,0.0574
50,9,0.0549
51,10,0.0522
52,10,0.0500
53,10,0.0500
54,10,0.0500
55,10,0.0500
56,8,0.0500
57,9,0.0500
58,10,0.0500
59,10,0.0500
60,10,0.0500
61,10,0.0500
62,9,0.0500
63,10,0.0500
64,10,0.0500
65,10,0.0500
66,10,0.0500
67,9,0.0500
68,10,0.0500
69,8,0.0500
70,10,0.0500
71,9,0.0500
72,10,0.0500
73,10,0.0500
74,9,0.0500
75,11,0.0500
76,9,0.0500
77,10,0.0500
78,9,0.0500
79,9,0.0500
80,10,0.0500
81,8,0.0500
82,10,0.0500
83,10,0.0500
84,9,0.0500
85,11,0.0500
86,9,0.0500
87,10,0.0500
88,9,0.0500
89,9,0.0500
90,9,0.0500
91,9,0.0500
92,10,0.0500
93,10,0.0500
94,9,0.0500
95,10,0.0500
96,9,0.0500
97,9,0.0500
98,10,0.0500
99,9,0.0500
100,10,0.0500
101,9,0.0500
102,9,0.0500
103,10,0.0500
104,10,0.0500
105,10,0.0500
106,10,0.0500
107,9,0.0500
108,11,0.0500
109,9,0.0500
110,9,0.0500
111,9,0.0500
112,9,0.0500
113,10,0.0500
114,11,0.0500
115,9,0.0500
116,8,0.0500
117,9,0.0500
118,10,0.0500
119,9,0.0500
120,10,0.0500
121,9,0.0500
122,11,0.0500
123,10,0.0500
124,10,0.0500
125,10,0.0500
126,10,0.0500
127,10,0.0500
128,10,0.0500
129,8,0.0500
130,11,0.0500
131,9,0.0500
132,9,0.0500
133,10,0.0500
134,9,0.0500
135,8,0.0500
136,11,0.0500
137,11,0.0500
138,9,0.0500
139,10,0.0500
140,9,0.0500
141,11,0.0500
142,9,0.0500
143,9,0.0500
144,10,0.0500
145,9,0.0500
146,10,0.0500
147,9,0.0500
148,9,0.0500
149,10,0.0500
150,9,0.0500
151,11,0.0500
152,11,0.0500
153,11,0.0500
154,11,0.0500
155,10,0.0500
156,12,0.0500
157,10,0.0500
158,9,0.0500
159,10,0.0500
160,10,0.0500
161,11,0.0500
162,10,0.0500
163,9,0.0500
164,10,0.0500
165,9,0.0500
166,9,0.0500
167,10,0.0500
168,9,0.0500
169,10,0.0500
170,8,0.0500
171,10,0.0500
172,9,0.0500
173,11,0.0500
174,8,0.0500
175,11,0.0500
176,8,0.0500
177,10,0.0500
178,11,0.0500
179,8,0.0500
180,9,0.0500
181,9,0.0500
182,10,0.0500
183,9,0.0500
184,8,0.0500
185,10,0.0500
186,10,0.0500
187,10,0.0500
188,9,0.0500
189,10,0.0500
190,21,0.0500
191,11,0.0500
192,11,0.0500
193,9,0.0500
194,10,0.0500
195,9,0.0500
196,9,0.0500
197,18,0.0500
198,10,0.0500
199,11,0.0500
200,13,0.0500
201,14,0.0500
202,9,0.0500
203,12,0.0500
