Episode,Score,Epsilon
1,15,0.9276
2,21,0.8349
3,18,0.7629
4,12,0.7183
5,10,0.6832
6,22,0.6119
7,12,0.5762
8,17,0.5291
9,11,0.5007
10,10,0.4762
11,17,0.4373
12,16,0.4036
13,17,0.3707
14,10,0.3525
15,13,0.3303
16,11,0.3126
17,12,0.2943
18,13,0.2758
19,10,0.2623
20,16,0.2421
21,10,0.2302
22,11,0.2179
23,11,0.2062
24,17,0.1893
25,11,0.1792
26,19,0.1629
27,11,0.1542
28,9,0.1474
29,9,0.1409
30,12,0.1326
31,9,0.1268
32,10,0.1206
33,11,0.1141
34,12,0.1075
35,8,0.1032
36,8,0.0992
37,11,0.0939
38,9,0.0897
39,11,0.0849
40,9,0.0812
41,10,0.0772
42,8,0.0742
43,11,0.0702
44,9,0.0671
45,10,0.0638
46,10,0.0607
47,10,0.0577
48,9,0.0552
49,10,0.0525
50,9,0.0502
51,10,0.0500
52,11,0.0500
53,10,0.0500
54,11,0.0500
55,10,0.0500
56,8,0.0500
57,9,0.0500
58,10,0.0500
59,11,0.0500
60,10,0.0500
61,9,0.0500
62,9,0.0500
63,10,0.0500
64,11,0.0500
65,10,0.0500
66,11,0.0500
67,9,0.0500
68,9,0.0500
69,8,0.0500
70,10,0.0500
71,9,0.0500
72,10,0.0500
73,10,0.0500
74,9,0.0500
75,10,0.0500
76,9,0.0500
77,10,0.0500
78,9,0.0500
79,9,0.0500
80,11,0.0500
81,8,0.0500
82,10,0.0500
83,9,0.0500
84,9,0.0500
85,9,0.0500
86,9,0.0500
87,11,0.0500
88,10,0.0500
89,9,0.0500
90,9,0.0500
91,9,0.0500
92,11,0.0500
93,10,0.0500
94,9,0.0500
95,10,0.0500
96,9,0.0500
97,9,0.0500
98,8,0.0500
99,10,0.0500
100,9,0.0500
101,12,0.0500
102,10,0.0500
103,9,0.0500
104,9,0.0500
105,9,0.0500
106,10,0.0500
107,10,0.0500
108,10,0.0500
109,11,0.0500
110,9,0.0500
111,9,0.0500
112,12,0.0500
113,10,0.0500
114,10,0.0500
115,9,0.0500
116,8,0.0500
117,10,0.0500
118,10,0.0500
119,11,0.0500
120,11,0.0500
121,11,0.0500
122,16,0.0500
123,25,0.0500
124,8,0.0500
125,11,0.0500
126,14,0.0500
127,15,0.0500
128,13,0.0500
129,12,0.0500
130,14,0.0500
131,11,0.0500
132,10,0.0500
133,11,0.0500
134,10,0.0500
135,10,0.0500
136,12,0.0500
137,11,0.0500
138,14,0.0500
139,26,0.0500
140,10,0.0500
141,10,0.0500
142,60,0.0500
143,10,0.0500
144,12,0.0500
145,9,0.0500
146,11,0.0500
147,12,0.0500
148,10,0.0500
149,9,0.0500
150,10,0.0500
151,9,0.0500
152,15,0.0500
153,12,0.0500
154,15,0.0500
155,11,0.0500
156,12,0.0500
157,12,0.0500
158,10,0.0500
159,12,0.0500
160,11,0.0500
161,11,0.0500
162,11,0.0500
163,10,0.0500
164,12,0.0500
165,10,0.0500
166,11,0.0500
167,10,0.0500
168,10,0.0500
169,10,0.0500
170,9,0.0500
171,12,0.0500
172,10,0.0500
173,13,0.0500
174,9,0.0500
175,13,0.0500
176,9,0.0500
177,11,0.0500
178,12,0.0500
179,11,0.0500
180,39,0.0500
181,20,0.0500
182,20,0.0500
183,50,0.0500
184,50,0.0500
185,72,0.0500
186,59,0.0500
187,81,0.0500
188,50,0.0500
189,90,0.0500
190,119,0.0500
191,100,0.0500
192,111,0.0500
193,96,0.0500
194,112,0.0500
195,148,0.0500
196,132,0.0500
197,124,0.0500
198,153,0.0500
199,169,0.0500
200,154,0.0500
201,146,0.0500
202,153,0.0500
203,215,0.0500
204,174,0.0500
205,142,0.0500
206,152,0.0500
207,16,0.0500
208,171,0.0500
209,197,0.0500
210,169,0.0500
211,451,0.0500
212,205,0.0500
213,104,0.0500
214,260,0.0500
215,173,0.0500
216,186,0.0500
217,190,0.0500
218,199,0.0500
219,292,0.0500
220,219,0.0500
221,324,0.0500
222,122,0.0500
223,268,0.0500
224,125,0.0500
225,164,0.0500
226,159,0.0500
227,193,0.0500
228,146,0.0500
229,179,0.0500
230,142,0.0500
231,463,0.0500
232,122,0.0500
233,134,0.0500
234,134,0.0500
235,155,0.0500
236,114,0.0500
237,158,0.0500
238,118,0.0500
239,148,0.0500
240,156,0.0500
241,134,0.0500
242,137,0.0500
243,139,0.0500
244,137,0.0500
